2024-03-12 02:57:26 status unpacked libk5crypto3:amd64 1.20.1-2+deb12u1
2024-03-12 02:57:26 status half-configured libk5crypto3:amd64 1.20.1-2+deb12u1
2024-03-12 02:57:26 status installed libk5crypto3:amd64 1.20.1-2+deb12u1
2024-03-12 02:57:26 configure libsasl2-2:amd64 2.1.28+dfsg-10 <none>
2024-03-12 02:57:26 status unpacked libsasl2-2:amd64 2.1.28+dfsg-10
2024-03-12 02:57:26 status half-configured libsasl2-2:amd64 2.1.28+dfsg-10
2024-03-12 02:57:26 status installed libsasl2-2:amd64 2.1.28+dfsg-10
2024-03-12 02:57:26 configure libubsan1:amd64 12.2.0-14 <none>
2024-03-12 02:57:26 status unpacked libubsan1:amd64 12.2.0-14
2024-03-12 02:57:26 status half-configured libubsan1:amd64 12.2.0-14
2024-03-12 02:57:26 status installed libubsan1:amd64 12.2.0-14
2024-03-12 02:57:26 configure libcrypt-dev:amd64 1:4.4.33-2 <none>
2024-03-12 02:57:26 status unpacked libcrypt-dev:amd64 1:4.4.33-2
